match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets,player_of_match_id,result,stage,is_playoff,season_year,toss_winner_won,win_type,win_margin,match_month,team1_is_home,team2_is_home
335982,2008,6,Bangalore,2008-04-18,Indian Premier League,1,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,140.0,,46.0,win,League,0,2008,0,by runs,140.0,4,1,0
1082591,2017,6,Hyderabad,2017-04-05,Indian Premier League,1,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35.0,,15.0,win,League,0,2017,0,by runs,35.0,4,1,0
1082592,2017,6,Pune,2017-04-06,Indian Premier League,2,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,,7.0,36.0,win,League,0,2017,1,by wickets,7.0,4,0,0
1082593,2017,6,Rajkot,2017-04-07,Indian Premier League,3,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,field,Kolkata Knight Riders,,10.0,57.0,win,League,0,2017,1,by wickets,10.0,4,0,0
1082594,2017,6,Indore,2017-04-08,Indian Premier League,4,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Punjab Kings,Punjab Kings,Rising Pune Supergiant,field,Punjab Kings,,6.0,71.0,win,League,0,2017,1,by wickets,6.0,4,0,0
1082595,2017,6,Bengaluru,2017-04-08,Indian Premier League,5,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,15.0,,4.0,win,League,0,2017,1,by runs,15.0,4,0,0
1082596,2017,6,Hyderabad,2017-04-09,Indian Premier League,6,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,field,Sunrisers Hyderabad,,9.0,22.0,win,League,0,2017,1,by wickets,9.0,4,1,0
1082597,2017,6,Mumbai,2017-04-09,Indian Premier League,7,male,T20,T20,20,2017,club,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,,4.0,26.0,win,League,0,2017,1,by wickets,4.0,4,1,0
1082598,2017,6,Indore,2017-04-10,Indian Premier League,8,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,,8.0,70.0,win,League,0,2017,0,by wickets,8.0,4,0,0
1082599,2017,6,Pune,2017-04-11,Indian Premier League,9,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Rising Pune Supergiant,Delhi Capitals,field,Delhi Capitals,97.0,,180.0,win,League,0,2017,0,by runs,97.0,4,0,0
1082600,2017,6,Mumbai,2017-04-12,Indian Premier League,10,male,T20,T20,20,2017,club,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,,4.0,33.0,win,League,0,2017,1,by wickets,4.0,4,1,0
1082601,2017,6,Kolkata,2017-04-13,Indian Premier League,11,male,T20,T20,20,2017,club,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,,8.0,65.0,win,League,0,2017,1,by wickets,8.0,4,1,0
1082602,2017,6,Bangalore,2017-04-14,Indian Premier League,12,male,T20,T20,20,2017,club,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,,4.0,29.0,win,League,0,2017,1,by wickets,4.0,4,1,0
1082603,2017,6,Rajkot,2017-04-14,Indian Premier League,13,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,field,Gujarat Lions,,7.0,351.0,win,League,0,2017,1,by wickets,7.0,4,0,0
1082604,2017,6,Kolkata,2017-04-15,Indian Premier League,14,male,T20,T20,20,2017,club,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,17.0,,58.0,win,League,0,2017,0,by runs,17.0,4,1,0
